PropertyValue;Timestamp
1;16:47:26
1;16:52:53
1;16:52:53
1;16:54:59
1;16:54:59
1;17:07:22
1;17:07:22
1;17:07:35
1;17:07:35
1;17:18:48
1;17:18:48
1;17:18:48
1;17:18:48
1;17:18:48
1;17:18:48
1;17:18:48
1;17:18:48
1;17:18:48
1;17:18:48
1;17:18:59
1;17:18:59
1;17:19:05
1;17:19:05
1;17:19:14
1;17:19:14
1;17:19:20
1;17:19:20
1;17:19:25
1;17:19:25
1;17:19:31
1;17:19:31
1;17:19:42
1;17:19:42
1;17:19:48
1;17:19:48
1;17:19:53
1;17:19:53
1;17:19:59
1;17:19:59
1;17:20:10
1;17:20:10
1;17:20:15
1;17:20:15
1;17:20:21
1;17:20:21
1;17:20:26
1;17:20:26
1;17:20:32
1;17:20:32
1;17:20:37
1;17:20:37
1;17:20:43
1;17:20:43
1;17:20:49
1;17:20:49
1;17:20:54
1;17:20:54
1;17:21:00
1;17:21:00
1;17:26:08
1;17:26:08
1;17:26:14
1;17:26:14
1;17:26:19
1;17:26:19
1;17:26:32
1;17:26:32
1;17:26:37
1;17:26:37
1;17:26:42
1;17:26:42
1;17:26:54
1;17:26:54
1;17:26:59
1;17:26:59
1;17:27:05
1;17:27:05
1;17:27:16
1;17:27:16
1;17:27:22
1;17:27:22
1;17:27:27
1;17:27:27
1;17:27:33
1;17:27:33
1;17:27:38
1;17:27:38
1;17:27:44
1;17:27:44
1;17:27:49
1;17:27:49
1;17:28:00
1;17:28:00
1;17:28:12
1;17:28:12
1;17:28:17
1;17:28:17
1;17:28:22
1;17:28:22
1;17:28:28
1;17:28:28
1;17:28:41
1;17:28:41
1;17:28:45
1;17:28:45
1;17:28:51
1;17:28:51
1;17:28:56
1;17:28:56
1;17:29:18
1;17:29:18
1;17:29:24
1;17:29:24
1;17:29:29
1;17:29:29
1;17:29:36
1;17:29:36
1;17:29:46
1;17:29:46
1;17:29:47
1;17:29:47
1;17:29:51
1;17:29:51
1;17:29:57
1;17:29:57
1;17:30:03
1;17:30:03
1;17:30:08
1;17:30:08
1;17:30:14
1;17:30:14
1;17:30:19
1;17:30:19
1;17:30:26
1;17:30:26
1;17:30:36
1;17:30:36
1;17:30:42
